,job_title,company_name,location,date_posted,experience,currency,min_salary,max_salary,median_salary
182,Data Analyst - Contract,Shopee,Singapore,Posted a month ago,2,,,,
183,Data Analyst,Shopee,Singapore,Posted a month ago,1,,,,
184,Data Analyst (Digital Transformation),Shopee,Singapore,Posted a month ago,3,,,,
185,Regional Operations Data Analyst,,Singapore,Posted a month ago,2,,,,
186,"Data Analyst - Business Intelligence, Regional Operations",ShopBack,Singapore,Posted a month ago,1,,,,
187,Data Business Analyst,IKAS INTERNATIONAL (ASIA) PTE. LTD.,Singapore,Posted 17 days ago,,USD,102000.0,144000.0,123000.0
188,Actuarial Data Analyst,Shopee,Singapore,Posted a month ago,1,,,,
189,Data Analyst - JK,QCP,Singapore,Posted a month ago,1,USD,48000.0,52800.0,50400.0
190,Data Analyst,Munich Re,"Eunos, Singapore",Posted a month ago,,USD,72000.0,144000.0,108000.0
191,"AVP, Senior Data Analyst, Data Governance (GDMO)",FINEXIS ADVISORY PTE. LTD.,Singapore,Posted a month ago,4,,,,
192,Strategy Data Analyst,ALLEGIS GROUP SINGAPORE PRIVATE LIMITED,Singapore,Posted a month ago,,USD,78000.0,102000.0,90000.0
193,Data Analyst,A-STAR TESTING & INSPECTION (S) PTE. LTD.,"Singapore, Tai Seng",Posted a month ago,,USD,54000.0,78000.0,66000.0
194,Data Analyst,SCIENTE INTERNATIONAL PTE. LTD.,Singapore,Posted a month ago,,USD,48000.0,60000.0,54000.0
195,Data Analyst,INNOCELLENCE SYSTEMS PTE. LTD.,"Singapore, Kallang",Posted a month ago,,USD,42000.0,66000.0,54000.0
196,Data Analyst,HUDSON RPO (SINGAPORE) PTE. LTD.,"Singapore, Raffles Link / Raffles Place",Posted a month ago,,USD,60000.0,63600.0,61800.0
197,Data Analyst - JO3125,A STAR TECHNICAL SERVICES PTE. LTD.,"Singapore, Raffles Link / Raffles Place",Posted a month ago,,USD,60000.0,66000.0,63000.0
198,Data Analyst,ANTER RECRUITMENT PTE. LTD.,Singapore,Posted a month ago,,USD,48000.0,60000.0,54000.0
199,Data Analyst,SCIENTE INTERNATIONAL PTE. LTD.,"Singapore, Toa Payoh",Posted a month ago,,USD,60000.0,84000.0,72000.0
200,Data Analyst***,SCIENTE INTERNATIONAL PTE. LTD.,Singapore,Posted a month ago,,USD,48000.0,60000.0,54000.0
201,Lead Data Analyst,TALENTS@WORK PTE. LTD.,Singapore,Posted a month ago,9,,,,
202,Business & Data Analyst,,"Scotts Road, Singapore",Posted a month ago,,USD,54000.0,84000.0,69000.0
203,Data Analyst,IKAS INTERNATIONAL (ASIA) PTE. LTD.,"Singapore, Tai Seng",Posted a month ago,,USD,54000.0,78000.0,66000.0
204,Strategy Data Analyst,LYNEER CORP (SINGAPORE) PTE. LTD.,Singapore,Posted a month ago,,USD,78000.0,102000.0,90000.0
